Index,News,Date
64,Plesiosaurs swam like penguins,2016-01-26 00:00:00
65,Year in review: New algorithm quickly spots identical networks,2015-12-15 00:00:00
66,"Google’s quantum computer speeds up, but practical use is unclear",2015-12-11 00:00:00
67,New algorithm cracks graph problem,2015-11-11 00:00:00
68,Future quantum computing could exploit old technology,2015-10-09 00:00:00
69,"For the real hits of fashion week, look to computer science",2015-10-05 00:00:00
70,William Detmold: Looking deep into atoms’ hearts,2015-09-22 00:00:00
71,Yasser Roudi: Creating maps in the brain,2015-09-22 00:00:00
72,Virtual twister reveals possible source of tornado longevity,2015-09-04 00:00:00
73,"A bot, not a Kardashian, probably wrote that e-cig tweet",2015-08-21 00:00:00
74,Contentious science topics on Wikipedia subject to editing mischief,2015-08-19 00:00:00
75,A few key signs betray betrayal,2015-08-07 00:00:00
76,Enormous quantities may soon be called ‘genomical’,2015-07-15 00:00:00
77,Quantum chemistry may be a shortcut to life-changing compounds,2015-05-29 00:00:00
78,Computer program rivals top poker players in complex card game,2015-05-13 00:00:00
79,Resistors that remember help circuits learn,2015-05-07 00:00:00
80,Brain’s grid cells could navigate a curvy world,2015-05-07 00:00:00
81,Unbiased computer confirms media bias,2015-04-17 00:00:00
82,"Concerns about drones, how to hunt exoplanets and more reader feedback",2015-03-11 00:00:00
83,"Artificial intelligence conquers Space Invaders, Pong, Q*bert",2015-02-25 00:00:00
84,Allergy-related Google searches follow pollen season ups and downs,2015-01-08 00:00:00
85,New computer algorithm plays poker almost perfectly,2015-01-08 00:00:00
86,‘The Imitation Game’ entertains at the expense of accuracy,2014-12-30 00:00:00
87,Milestone algorithm runs on quantum computer,2014-11-13 00:00:00
88,Spirals inspire walking aids for people with disabilities,2014-10-31 00:00:00
89,E-commerce sites personalize search results to maximize profits,2014-10-23 00:00:00
90,Computer program reveals artists’ influences,2014-10-13 00:00:00
91,"To have a sound mind, a brain needs a body",2014-08-26 00:00:00
92,Robot swarm takes many shapes,2014-08-26 00:00:00
93,Magnets get flipped by light,2014-08-22 00:00:00
94,Thousand-robot swarm self-assembles into complex shapes,2014-08-15 00:00:00
95,Father-son mathematicians fold math into fonts,2014-08-10 00:00:00
96,Brain-inspired computer chip mimics 1 million neurons,2014-08-08 00:00:00
97,Barrel jellyfish may hunt with new kind of math,2014-08-06 00:00:00
98,Small lies in social networks may keep society running,2014-07-28 00:00:00
99,Weird materials could make faster computers,2014-07-23 00:00:00
100,Bacteria’s bodies do whirlies to help them swim,2014-07-22 00:00:00
101,Commercial quantum computer fails to impress in new test,2014-06-19 00:00:00
102,Genetic mutation quenches quantum quirk in algae,2014-06-16 00:00:00
103,Self-driving cars are not a thing of the past,2014-06-12 00:00:00
104,Diffusion may keep big knots out of DNA,2014-05-22 00:00:00
105,Major step taken toward error-free computing,2014-04-23 00:00:00
106,App could cut jet lag short,2014-04-10 00:00:00
107,A tale of touching tubes,2014-04-02 00:00:00
108,Materials’ light tricks may soon extend to doing math,2014-01-09 00:00:00
109,Forecasting system predicts peaks in flu outbreaks,2013-12-03 00:00:00
110,Fastest supercomputers,2013-12-01 00:00:00
111,Single atoms hold on to information,2013-11-13 00:00:00
112,Memory upgrade,2013-10-04 00:00:00
113,Forecasting by computer,2013-07-26 00:00:00
114,"When trolls come out from under their bridges, it’s bad news for scientific discourse",2013-03-12 00:00:00
115,The 3-D Printing Revolution,2013-02-21 00:00:00
116,Maybe there’s a way to find out if reality is a computer simulation,2012-12-10 00:00:00
117,Bacterial trick keeps robots in sync,2012-05-24 00:00:00
118,Model copes with chaos to deliver relief,2011-02-21 00:00:00
119,Fruit flies teach computers a lesson,2011-01-13 00:00:00
120,Trading places,2010-10-29 00:00:00
121,Most influential media Twitter feeds,2010-09-09 00:00:00
122,"Going viral takes a posse, not an army",2010-08-20 00:00:00
123,Machine versus manhole,2010-07-07 00:00:00
124,Circling the square,2010-06-25 00:00:00
125,Leaf veins loopy for a reason,2010-02-02 00:00:00
126,First programmable quantum computer created,2009-11-23 00:00:00
127,Quantum computers could tackle enormous linear equations,2009-10-16 00:00:00
128,Minifridge makes quantum computers last,2009-08-06 00:00:00
129,Random numbers faster,2009-07-14 00:00:00
130,Asia: One reason America can’t afford to jettison good teachers,2009-06-17 00:00:00
131,New circuits feed on noise,2009-03-12 00:00:00
132,Science Stimulus,2009-02-27 00:00:00
133,DOE wants to become more like Bell Labs,2009-02-24 00:00:00
134,Electronic Records: A Way to Stretch Nurses,2009-02-09 00:00:00
135,Computing Evolution,2009-01-16 00:00:00
136,Stimulus bill doesn’t ignore R&D,2009-01-16 00:00:00
137,Googling: Your Cup of Tea?,2009-01-12 00:00:00
138,New theory defines faster MRI,2008-11-25 00:00:00
139,McCain Is Bullish on R&D,2008-09-15 00:00:00
140,Preserving digital data for the future of eScience,2008-08-18 00:00:00
141,Building ‘The Matrix’,2008-07-27 00:00:00
142,Video Search à la Web,2008-06-18 00:00:00
143,Reading minds … or at least brain scans,2008-05-29 00:00:00
144,"BOOK LIST | Guilty Robots, Happy Dogs: The Question of Alien Minds",2008-05-23 00:00:00
145,Scientists Get a 2nd Life,2008-05-09 00:00:00
146,Virtual Addicts,2008-03-19 00:00:00
147,Social Networking for Zebras,2007-11-26 00:00:00
148,Can You Face It?,2007-08-23 00:00:00
149,Squashing Worms,2007-08-21 00:00:00
150,Cloudy Crystal Balls,2007-08-01 00:00:00
151,Virtual Surgery,2007-07-23 00:00:00
152,"Check on Checkers: In perfect game, there’s no winner",2007-07-18 00:00:00
153,Mapping a Medusa: The Internet spreads its tentacles,2007-06-20 00:00:00
154,Lost in transportation,2007-04-30 00:00:00
155,"Computer, Name That Tune!",2007-04-27 00:00:00
156,The Machine’s Got Rhythm,2007-04-17 00:00:00
157,Games Theory,2007-03-13 00:00:00
158,Digital Fingerprints,2007-01-09 00:00:00
159,What a Flake,2006-12-18 00:00:00
160,Hairy Calculations: Picturing tresses in a truer light,2006-07-26 00:00:00
161,The Risky Business of Spreadsheet Errors,2005-12-15 00:00:00
162,Network Inoculation: Antivirus shield would outrace cyber infections,2005-11-30 00:00:00
163,Untangling a Web: The Internet gets a new look,2005-10-05 00:00:00
164,Net History,2004-10-20 00:00:00
165,Calculating Swarms,2004-06-18 00:00:00
166,Straining for Speed,2004-02-23 00:00:00
167,Paint by Pixel,2004-02-12 00:00:00
168,Virtual stampede sees faces in crowd,2003-09-12 00:00:00
169,Resistance leaps as magnetism mounts,2003-08-05 00:00:00
170,Going to digital extremes,2003-08-05 00:00:00
171,Computer Game Art and History,2003-07-28 00:00:00
172,Computation Takes a Quantum Leap,2003-04-29 00:00:00
173,Minding Your Business,2003-04-28 00:00:00
174,Tight packaging for digitized surfaces,2003-04-25 00:00:00
175,Computer grid cracks problem,2003-04-25 00:00:00
176,Strength and weakness in diversity,2003-04-25 00:00:00
177,Pictures Only a Computer Could Love,2003-03-25 00:00:00
178,Loony Tunes: Bugs blare in software set to music,2002-11-26 00:00:00
179,Software’s beginnings,2002-11-18 00:00:00
180,‘Love bug’ lessons,2002-11-18 00:00:00
181,A loosely woven Web,2002-11-18 00:00:00
182,Writing faster with your eyes,2002-08-28 00:00:00
183,Scouring the Web,2002-06-21 00:00:00
184,Finding networks within networks,2002-03-18 00:00:00
185,Calculating Cartoons,2002-01-23 00:00:00
186,Sneaky Calculations,2001-11-13 00:00:00
187,Computer paints a charged bioportrait,2001-08-28 00:00:00
188,New initiatives scale up supercomputing,2001-08-21 00:00:00
189,Web worms: Code Red to Warhol,2001-08-21 00:00:00
190,Motif for Infection,2001-05-10 00:00:00
191,Automatic Professor Machine,2001-03-26 00:00:00
192,Making the Macintosh,2001-03-19 00:00:00
