Index,News,Date
108,Co-creating climate futures with real-time data and spatial storytelling,2024-01-08 00:00:00
109,Technique could efficiently solve partial differential equations for numerous applications,2024-01-08 00:00:00
110,AI agents help explain other AI systems,2024-01-03 00:00:00
111,"Complex, unfamiliar sentences make the brain’s language network work harder",2024-01-03 00:00:00
112,Building technology that empowers city residents ,2024-01-03 00:00:00
113,MIT in the media: 2023 in review,2023-12-21 00:00:00
114,A flexible solution to help artists improve animation,2023-12-20 00:00:00
115,“MIT can give you ‘superpowers’”,2023-12-15 00:00:00
116,Image recognition accuracy: An unseen challenge confounding today’s AI,2023-12-15 00:00:00
117,Three MIT students selected as inaugural MIT-Pillar AI Collective Fellows,2023-12-13 00:00:00
118,Closing the design-to-manufacturing gap for optical devices,2023-12-13 00:00:00
119,A computer scientist pushes the boundaries of geometry,2023-12-12 00:00:00
120,Boosting faith in the authenticity of open source software,2023-12-11 00:00:00
121,MIT Generative AI Week fosters dialogue across disciplines,2023-12-11 00:00:00
122,Two from MIT named 2024 Marshall Scholars,2023-12-11 00:00:00
123,MIT group releases white papers on governance of AI,2023-12-11 00:00:00
124,"Miranda McClellan ’18, MEng ’19 awarded 2025 Schwarzman Scholarship",2023-12-08 00:00:00
125,Automated system teaches users when to collaborate with an AI assistant,2023-12-08 00:00:00
126,AI accelerates problem-solving in complex scenarios,2023-12-05 00:00:00
127,High school students gain skills by working on digital learning materials,2023-11-30 00:00:00
128,A new optimization framework for robot motion planning,2023-11-30 00:00:00
129,What does the future hold for generative AI?,2023-11-29 00:00:00
130,New method uses crowdsourced feedback to help train robots,2023-11-27 00:00:00
131,Search algorithm reveals nearly 200 new kinds of CRISPR systems,2023-11-23 00:00:00
132,Students pitch transformative ideas in generative AI at MIT Ignite competition,2023-11-21 00:00:00
133,Synthetic imagery sets new bar in AI training efficiency ,2023-11-20 00:00:00
134,Technique enables AI on edge devices to keep learning over time,2023-11-16 00:00:00
135,"Writing code, and decoding the world",2023-11-14 00:00:00
136,Explained: Generative AI,2023-11-09 00:00:00
137,MIT engineers are on a failure-finding mission,2023-11-09 00:00:00
138,Using AI to optimize for rapid neural imaging ,2023-11-06 00:00:00
139,Using language to give robots a better grasp of an open-ended world,2023-11-02 00:00:00
140,New techniques efficiently accelerate sparse tensors for massive AI models,2023-10-30 00:00:00
141,Accelerating AI tasks while preserving data security,2023-10-30 00:00:00
142,Making genetic prediction models more inclusive,2023-10-26 00:00:00
143,"Morris Chang ’52, SM ’53 describes the secrets of semiconductor success",2023-10-25 00:00:00
144,"To excel at engineering design, generative AI must learn to innovate, study finds",2023-10-19 00:00:00
145,A new way to integrate data with physical objects,2023-10-18 00:00:00
146,New technique helps robots pack objects into a tight space,2023-10-17 00:00:00
147,A method to interpret AI might not be so interpretable after all,2023-10-16 00:00:00
148,Study: Deep neural networks don’t see the world the way we do,2023-10-16 00:00:00
149,New tools are available to help reduce the energy that AI models devour ,2023-10-05 00:00:00
150,Finger-shaped sensor enables more dexterous robots,2023-10-04 00:00:00
151,AI copilot enhances human precision for safer aviation,2023-10-03 00:00:00
152,A more effective experimental design for engineering a cell into a new state,2023-10-02 00:00:00
153,Is AI in the eye of the beholder?,2023-10-02 00:00:00
154,Giving students the computational chops to tackle 21st-century challenges,2023-09-28 00:00:00
155,Decoding the complexity of Alzheimer’s disease,2023-09-28 00:00:00
156,Quantum repeaters use defects in diamond to interconnect quantum systems,2023-09-27 00:00:00
157, From physics to generative AI: An AI model for advanced pattern generation,2023-09-27 00:00:00
158,3 Questions: A new PhD program from the Center for Computational Science and Engineering,2023-09-25 00:00:00
159,New qubit circuit enables quantum operations with higher accuracy,2023-09-25 00:00:00
160,Re-imagining our theories of language,2023-09-22 00:00:00
161,On the hunt for sustainable materials ,2023-09-22 00:00:00
162,MIT scholars awarded seed grants to probe the social implications of generative AI,2023-09-18 00:00:00
163,Multi-AI collaboration helps reasoning and factual accuracy in large language models,2023-09-18 00:00:00
164,MIT named No. 2 university by U.S. News for 2023-24,2023-09-18 00:00:00
165,AI-driven tool makes it easy to personalize 3D-printable models,2023-09-15 00:00:00
166,A pose-mapping technique could remotely evaluate patients with cerebral palsy,2023-09-14 00:00:00
167,How an archeological approach can help leverage biased data in AI to improve medicine,2023-09-13 00:00:00
168,AI model speeds up high-resolution computer vision,2023-09-12 00:00:00
169,"System combines light and electrons to unlock faster, greener computing",2023-09-11 00:00:00
170,A system to keep cloud-based gamers in sync,2023-08-31 00:00:00
171,Ms. Nuclear Energy is winning over nuclear skeptics ,2023-08-29 00:00:00
172,How to help high schoolers prepare for the rise of artificial intelligence,2023-08-24 00:00:00
173,AI helps robots manipulate objects with their whole bodies,2023-08-24 00:00:00
174,Planning algorithm enables high-performance flight,2023-08-23 00:00:00
175,"Machine-learning system based on light could yield more powerful, efficient large language models",2023-08-22 00:00:00
176,MIT researchers combine deep learning and physics to fix motion-corrupted MRI scans,2023-08-17 00:00:00
177,How machine-learning models can amplify inequities in medical diagnosis and treatment,2023-08-17 00:00:00
178,"AI models are powerful, but are they biologically plausible?",2023-08-15 00:00:00
179,Invisible tagging system enhances 3D object tracking,2023-08-15 00:00:00
180,"Professor Emeritus Sanjoy Mitter, expert in the theoretical foundations of systems, communication, and control, dies at 89",2023-08-11 00:00:00
181,Field campaign assesses vulnerabilities of 5G networks,2023-08-07 00:00:00
182,Using AI to protect against AI image manipulation ,2023-07-31 00:00:00
183,A simpler method for learning to control a robot,2023-07-26 00:00:00
184,A faster way to teach a robot,2023-07-18 00:00:00
185,Armando Solar-Lezama named inaugural Distinguished Professor of Computing,2023-07-17 00:00:00
186,AI helps household robots cut planning time in half,2023-07-14 00:00:00
187,A new way to look at data privacy,2023-07-14 00:00:00
188,Generative AI imagines new protein structures ,2023-07-12 00:00:00
189,Building connections,2023-07-07 00:00:00
190,Learning the language of molecules to predict their properties,2023-07-07 00:00:00
191,The chore of packing just got faster and easier,2023-07-06 00:00:00
192,Researchers teach an AI to write better chart captions,2023-06-30 00:00:00
193,Computer vision system marries image recognition and generation ,2023-06-28 00:00:00
194,MIT researchers devise a way to evaluate cybersecurity methods,2023-06-28 00:00:00
195,Sensing the world around us,2023-06-26 00:00:00
196,Day of AI curriculum meets the moment,2023-06-26 00:00:00
197,MIT-Pillar AI Collective announces first seed grant recipients,2023-06-22 00:00:00
198,MIT PhD student enhances STEM education in underrepresented communities in Puerto Rico,2023-06-22 00:00:00
199,Envisioning the future of computing,2023-06-16 00:00:00
200,Defining the public interest in new technologies,2023-06-13 00:00:00
201,A step toward safe and reliable autopilots for flying,2023-06-12 00:00:00
202,Bringing the social and ethical responsibilities of computing to the forefront,2023-06-08 00:00:00
203,New model offers a way to speed up drug discovery,2023-06-08 00:00:00
204,MIT researchers make language models scalable self-learners,2023-06-08 00:00:00
205,Scaling audio-visual learning without labels,2023-06-05 00:00:00
206,New tool helps people choose the right method for evaluating AI models,2023-05-31 00:00:00
207,"A more effective way to train machines for uncertain, real-world situations",2023-05-31 00:00:00
208,Celebrating the impact of IDSS,2023-05-26 00:00:00
209,Probabilistic AI that knows how well it’s working,2023-05-25 00:00:00
210,Helping robots handle fluids ,2023-05-24 00:00:00
211,A better way to match 3D volumes,2023-05-24 00:00:00
212,Researchers use AI to identify similar materials in images,2023-05-23 00:00:00
213,Using data to write songs for progress,2023-05-21 00:00:00
214,Toward more flexible and rapid prototyping of electronic devices,2023-05-18 00:00:00
215,"Is medicine ready for AI? Doctors, computer scientists, and policymakers are cautiously optimistic ",2023-05-17 00:00:00
216,A better way to study ocean currents,2023-05-17 00:00:00
217,An AI challenge only humans can solve,2023-05-17 00:00:00
218,Joining the battle against health care bias,2023-05-16 00:00:00
219,3 Questions: Jacob Andreas on large language models ,2023-05-11 00:00:00
220,Study: AI models fail to reproduce human judgements about rule violations,2023-05-10 00:00:00
221,Using reflections to see the world from new points of view,2023-05-10 00:00:00
222,Training machines to learn more like humans do,2023-05-09 00:00:00
223,Researchers create a tool for accurately simulating complex systems,2023-05-04 00:00:00
224,Open-source platform simulates wildlife for soft robotics designers,2023-05-02 00:00:00
225,Driving toward data justice,2023-04-26 00:00:00
226,"Martin Wainwright named director of the Institute for Data, Systems, and Society",2023-04-24 00:00:00
227,Learner in Afghanistan reaches beyond barriers to pursue career in data science,2023-04-24 00:00:00
228,Miniscule device could help preserve the battery life of tiny sensors,2023-04-24 00:00:00
229,AI system can generate novel proteins that meet structural design targets,2023-04-20 00:00:00
230,Drones navigate unseen environments with liquid neural networks ,2023-04-19 00:00:00
231,Yael Tauman Kalai PhD ’06 awarded 2022 ACM Prize in Computing,2023-04-19 00:00:00
232,MIT CSAIL researchers discuss frontiers of generative AI ,2023-04-12 00:00:00
233,An easier way to get bugs out of programming languages,2023-04-07 00:00:00
234,An interdisciplinary approach to fighting climate change through clean energy solutions,2023-04-05 00:00:00
235,Benoit Forget named head of the Department of Nuclear Science and Engineering,2023-04-04 00:00:00
236,Robotic hand can identify objects with just one grasp,2023-04-03 00:00:00
237,A four-legged robotic system for playing soccer on various terrains,2023-04-03 00:00:00
238,Speeding up drug discovery with diffusion generative models,2023-03-31 00:00:00
239,A method for designing neural networks optimally suited for certain tasks,2023-03-30 00:00:00
240,New algorithm keeps drones from colliding in midair,2023-03-29 00:00:00
241,Strengthening trust in machine-learning models,2023-03-28 00:00:00
242,Coding for health equity,2023-03-24 00:00:00
243,A design tool to democratize the art of color-changing mosaics ,2023-03-23 00:00:00
244,Tackling counterfeit seeds with “unclonable” labels,2023-03-22 00:00:00
245,QS World University Rankings rates MIT No. 1 in 11 subjects for 2023,2023-03-22 00:00:00
246,Bob Metcalfe ’69 wins $1 million Turing Award,2023-03-22 00:00:00
247,Learning to grow machine-learning models,2023-03-22 00:00:00
248,A glimpse inside Intel,2023-03-21 00:00:00
249,Detailed images from space offer clearer picture of drought effects on plants ,2023-03-20 00:00:00
250,3D-printed revolving devices can sense how they are moving,2023-03-16 00:00:00
251,Python-based compiler achieves orders-of-magnitude speedups,2023-03-14 00:00:00
252,Mining the right transition metals in a vast chemical space,2023-03-13 00:00:00
253,New “traffic cop” algorithm helps a drone swarm stay on task,2023-03-13 00:00:00
254,New method accelerates data retrieval in huge databases,2023-03-13 00:00:00
255,"It’s a weird, weird quantum world",2023-03-10 00:00:00
256,Matthew Kearney: Bringing AI and philosophy into dialogue,2023-03-10 00:00:00
257,Creating a versatile vaccine to take on Covid-19 in its many guises  ,2023-03-09 00:00:00
258,New insights into training dynamics of deep classifiers,2023-03-08 00:00:00
259,QuARC 2023 explores the leading edge in quantum information and science,2023-03-03 00:00:00
260,Large language models are biased. Can logic help save them? ,2023-03-03 00:00:00
261,Robot armies duke it out in Battlecode’s epic on-screen battles,2023-03-03 00:00:00
262,Integrating humans with AI in structural design,2023-03-02 00:00:00
263,Hari Balakrishnan awarded Marconi Prize,2023-02-28 00:00:00
264,Report: CHIPS Act just the first step in addressing threats to US leadership in advanced computing,2023-02-28 00:00:00
265,Comedy meets mathematics in a new opera at MIT,2023-02-23 00:00:00
266,"Student-led conference charts the future of micro- and nanoscale research, reinforces scientific community",2023-02-22 00:00:00
267,A new way for quantum computing systems to keep their cool,2023-02-21 00:00:00
268,Engineers discover a new way to control atomic nuclei as “qubits”,2023-02-15 00:00:00
269,"“MIT Illuminations,” a colorful installation and introduction to creative computation, is now open in Kendall Square",2023-02-14 00:00:00
270,Scientists boost quantum signals while reducing noise,2023-02-09 00:00:00
271,Solving a machine-learning mystery,2023-02-07 00:00:00
272,Automating the math for decision-making under uncertainty,2023-02-06 00:00:00
273,"Toward new, computationally designed cybersteels",2023-02-03 00:00:00
274,World Wide Web Consortium is now a public-interest nonprofit organization,2023-02-02 00:00:00
275,Making computer science research more accessible in India,2023-01-30 00:00:00
276,When should data scientists try a new technique?,2023-01-27 00:00:00
277,Putting clear bounds on uncertainty,2023-01-23 00:00:00
278,"Research, education, and connection in the face of war",2023-01-20 00:00:00
279,MIT researchers develop an AI model that can detect future lung cancer risk,2023-01-20 00:00:00
280,Gaining real-world industry experience through Break Through Tech AI at MIT,2023-01-18 00:00:00
281,Enabling advanced studies in Turkey with MIT OpenCourseWare,2023-01-12 00:00:00
282,Q&A: A fresh look at data science,2023-01-12 00:00:00
283,Unpacking the “black box” to build better AI models,2023-01-08 00:00:00
284,Simulating discrimination in virtual reality,2023-01-05 00:00:00
285,New quantum computing architecture could be used to connect large-scale devices,2023-01-05 00:00:00
286,This is your brain. This is your brain on code,2022-12-21 00:00:00
287,MIT community members win 2023 IEEE medals and awards,2022-12-20 00:00:00
288,Subtle biases in AI can influence emergency decisions,2022-12-16 00:00:00
289,Computational system streamlines the design of fluidic devices,2022-12-09 00:00:00
290,A faster way to preserve privacy online,2022-12-07 00:00:00
291,Ushering in a new era of computing,2022-11-30 00:00:00
292,Busy GPUs: Sampling and pipelining method speeds up deep learning on large graphs,2022-11-29 00:00:00
293,A simpler path to better computer vision,2022-11-23 00:00:00
294,A far-sighted approach to machine learning,2022-11-23 00:00:00
295,MIT wins world finals of the 45th International Collegiate Programming Contest,2022-11-16 00:00:00
296,Empowering social media users to assess content helps fight misinformation,2022-11-16 00:00:00
297,Solving brain dynamics gives rise to flexible machine-learning models ,2022-11-15 00:00:00
298,Q&A: MIT competitive programmers on going the distance,2022-11-15 00:00:00
299,Ensuring AI works with the right dose of curiosity,2022-11-10 00:00:00
300,A whole new world of learning via MIT OpenCourseWare videos,2022-11-07 00:00:00
301,Machine learning facilitates “turbulence tracking” in fusion reactors,2022-11-01 00:00:00
302,Using sound to model the world,2022-11-01 00:00:00
303,Helping blockchain communities fix bugs,2022-10-28 00:00:00
304,3 Questions: How AI image generators could help robots ,2022-10-27 00:00:00
305,Two first-year students named Rise Global Winners for 2022,2022-10-26 00:00:00
306,A faster experiment to find and study topological materials,2022-10-26 00:00:00
307,MIT system “sees” the inner structure of the body during physical rehab ,2022-10-11 00:00:00
308,Massachusetts Microelectronics Internship Program connects undergraduates with industry,2022-10-06 00:00:00
309,Simulating neutron behavior in nuclear reactors,2022-10-06 00:00:00
310,Investigating at the interface of data science and computing,2022-09-28 00:00:00
311,Neurodegenerative disease can progress in newly identified patterns,2022-09-27 00:00:00
312,"New program to support translational research in AI, data science, and machine learning",2022-09-27 00:00:00
313,Q&A: Global challenges surrounding the deployment of AI,2022-09-26 00:00:00
314,Understanding reality through algorithms,2022-09-25 00:00:00
315,Peter Shor wins Breakthrough Prize in Fundamental Physics,2022-09-22 00:00:00
316,Empowering Cambridge youth through data activism,2022-09-21 00:00:00
317,“Kids are people too!”,2022-09-16 00:00:00
318,Computing for the health of the planet,2022-09-13 00:00:00
319,MIT named No. 2 university by U.S. News for 2022-23,2022-09-12 00:00:00
320,AI system makes models like DALL-E 2 more creative ,2022-09-08 00:00:00
321,Analyzing the potential of AlphaFold in drug discovery,2022-09-06 00:00:00
322,Taking a magnifying glass to data center operations,2022-08-24 00:00:00
323,Artificial intelligence model can detect Parkinson’s from breathing patterns,2022-08-22 00:00:00
324,Bringing lessons from cybersecurity to the fight against disinformation ,2022-08-21 00:00:00
325,Thinking like a cyber-attacker to protect user data,2022-08-11 00:00:00
326,"Caspar Hare, Georgia Perakis named associate deans of Social and Ethical Responsibilities of Computing",2022-08-10 00:00:00
327,Researchers create the first artificial vision system for both land and water ,2022-08-04 00:00:00
328,New algorithm aces university math course questions,2022-08-03 00:00:00
329,"New hardware offers faster computation for artificial intelligence, with much less energy",2022-07-28 00:00:00
330,Study finds Wikipedia influences judicial behavior,2022-07-27 00:00:00
331,Q&A: Warehouse robots that feel by sight,2022-07-26 00:00:00
332,Explained: How to tell if artificial intelligence is working the way we want it to,2022-07-22 00:00:00
333, Costis Daskalakis appointed inaugural Avanessians Professor in the MIT Schwarzman College of Computing,2022-07-15 00:00:00
334,3 Questions: Teaching computational maker skills through gaming,2022-07-14 00:00:00
335,A programming language for hardware accelerators ,2022-07-11 00:00:00
336,"Remembering Octavian-Eugen Ganea, a gifted MIT postdoc AI researcher and beloved colleague",2022-07-07 00:00:00
337,Smart textiles sense how their users are moving,2022-07-07 00:00:00
338,Exploring emerging topics in artificial intelligence policy,2022-06-28 00:00:00
339,Making art through computation,2022-06-26 00:00:00
340,Investing in a new future with Open Learning,2022-06-24 00:00:00
341,Q&A: Neil Thompson on computing power and innovation,2022-06-24 00:00:00
342,Researchers release open-source photorealistic simulator for autonomous driving ,2022-06-21 00:00:00
343,MIT engineers devise a recipe for improving any autonomous robotic system,2022-06-21 00:00:00
344,New model helps identify mutations that drive cancer,2022-06-20 00:00:00
345,Seeing the whole from some of the parts,2022-06-17 00:00:00
346,Artificial neural networks model face processing in autism,2022-06-16 00:00:00
347,The MIT Press relaunches the Software Studies series,2022-06-13 00:00:00
348,Engineers build LEGO-like artificial intelligence chip,2022-06-13 00:00:00
349,Researchers discover a new hardware vulnerability in the Apple M1 chip ,2022-06-10 00:00:00
350,New CRISPR-based map ties every human gene to its function,2022-06-09 00:00:00
351,Student-powered machine learning,2022-06-09 00:00:00
352,Keeping web-browsing data safe from hackers,2022-06-09 00:00:00
353,Collin Stultz named co-director and MIT lead of the Harvard-MIT Program in Health Sciences and Technology,2022-06-07 00:00:00
354,Faster computing results without fear of errors,2022-06-07 00:00:00
355,Hallucinating to better text translation,2022-06-06 00:00:00
356,Making data visualization more accessible for blind and low-vision individuals,2022-06-02 00:00:00
357,Inaugural Day of AI brings new digital literacy to classrooms worldwide,2022-06-01 00:00:00
358,In bias we trust?,2022-06-01 00:00:00
359,"Joel Moses, Institute Professor Emeritus and computer science trailblazer, dies at 80",2022-05-31 00:00:00
360,A helping hand for robotic manipulator design,2022-05-25 00:00:00
361,Emery Brown wins a share of 2022 Gruber Neuroscience Prize,2022-05-24 00:00:00
362,Artificial intelligence predicts patients’ race from their medical images,2022-05-20 00:00:00
363,Charting a safe course through a highly uncertain environment,2022-05-19 00:00:00
364,Can artificial intelligence overcome the challenges of the health care system?,2022-05-17 00:00:00
365,Zero-trust architecture may hold the answer to cybersecurity insider threats,2022-05-17 00:00:00
366,Technique protects privacy when making online recommendations,2022-05-12 00:00:00
367,Q&A: Chris Rackauckas on the equations at the heart of practically everything,2022-05-09 00:00:00
368,Approaching human cognition from many angles,2022-05-06 00:00:00
369,MIT to launch new Office of Research Computing and Data,2022-05-05 00:00:00
370,Unpacking black-box models,2022-05-05 00:00:00
371,"Artificial intelligence system learns concepts shared across video, audio, and text",2022-05-04 00:00:00
372,What words can convey,2022-05-03 00:00:00
373,Soft assistive robotic wearables get a boost from rapid design tool,2022-05-03 00:00:00
374,A one-up on motion capture,2022-04-29 00:00:00
375,Engineers use artificial intelligence to capture the complexity of breaking waves,2022-04-29 00:00:00
376,How can we reduce the carbon footprint of global computing? ,2022-04-28 00:00:00
377,3 Questions: Designing software for research ethics,2022-04-26 00:00:00
378,Estimating the informativeness of data,2022-04-25 00:00:00
379,A new state of the art for unsupervised computer vision,2022-04-21 00:00:00
380,Anticipating others’ behavior on the road,2022-04-21 00:00:00
381,A flexible way to grab items with feeling,2022-04-15 00:00:00
382,Looking forward to forecast the risks of a changing climate,2022-04-15 00:00:00
383,Learning to think critically about machine learning,2022-04-15 00:00:00
384,MIT Schwarzman College of Computing unveils Break Through Tech AI,2022-04-13 00:00:00
385,Computing our climate future,2022-04-13 00:00:00
386,MIT’s FutureMakers programs help kids get their minds around — and hands on — AI,2022-04-12 00:00:00
387,Manipulating the future,2022-04-11 00:00:00
388,An optimized solution for face recognition,2022-04-06 00:00:00
389,QS World University Rankings rates MIT No. 1 in 12 subjects for 2022,2022-04-06 00:00:00
390,Does this artificial intelligence think like a human?,2022-04-06 00:00:00
391,Bringing together the next generation of quantum coders,2022-04-05 00:00:00
392,Robots dress humans without the full picture,2022-04-05 00:00:00
393,System helps severely motor-impaired individuals type more quickly and accurately ,2022-04-05 00:00:00
394,Generating new molecules with graph grammar,2022-04-01 00:00:00
395,Fighting discrimination in mortgage lending,2022-03-30 00:00:00
